Dataset,VQ-MethylNet,Moss-m7g,CNN,GRU,LSTM,Transformer
1,0.9409,0.9302,0.9104,0.9047,0.7324,0.9197
2,0.9201,0.9155,0.8945,0.8802,0.7267,0.8857
3,0.9569,0.9375,0.9171,0.631,0.5384,0.917
4,0.8717,0.8504,0.8635,0.845,0.7622,0.8179
5,0.9374,0.9414,0.9146,0.9422,0.9399,0.9219
6,0.9153,0.8822,0.8749,0.8438,0.8229,0.9074
7,0.9674,0.9484,0.9361,0.9333,0.9094,0.9434
8,0.9217,0.9049,0.9035,0.9411,0.9413,0.869
9,0.9236,0.9147,0.881,0.8567,0.8584,0.8978
10,0.8168,0.8163,0.7349,0.7677,0.6951,0.7721
