Dataset,VQ-MethylNet,Moss-m7g,CNN,GRU,LSTM,Transformer
1,0.7875,0.7353,0.7002,0.6796,0.3411,0.7276
2,0.7408,0.6946,0.6574,0.5997,0.3686,0.6133
3,0.8526,0.7738,0.7042,0.1868,0.0532,0.7201
4,0.6255,0.5966,0.5913,0.5519,0.3858,0.4631
5,0.7506,0.7516,0.6835,0.7502,0.7563,0.6972
6,0.6987,0.668,0.6138,0.5433,0.5133,0.6749
7,0.8572,0.7948,0.7377,0.7537,0.6913,0.7453
8,0.6912,0.6534,0.6563,0.7451,0.7421,0.5739
9,0.7281,0.6904,0.657,0.6248,0.6253,0.6466
10,0.4945,0.4629,0.34,0.3845,0.3326,0.415
